trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.5, 'e': 0.2865047968601902}",20,0,-23.666659371232793,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.2725317930340127}",25,0,-150.216194777758,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.2592402606458916}",25,0,26.068502864797278,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.24659696394160657}",20,3,-0.9262321776710447,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.23457028809379774}",20,0,-24.97321700562812,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.2231301601484299}",25,0,-37.44078193259511,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.21224797382674312}",25,11,-36.76460577475934,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.20189651799465547}",20,0,-45.059957739762496,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.19204990862075416}",25,0,-72.55495824588841,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.1826835240527347}",20,0,17.58485245408077,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.17377394345044517}",25,15,-40.629656142751,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.1652988882215866}",25,8,-98.79150132672297,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.15723716631362766}",20,16,7.882603705871957,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.1495686192226351}",20,0,-20.140350697413787,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.14227407158651362}",20,0,18.000515568500106,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.13533528323661273}",25,0,8.983188250016271,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.12873490358780426}",20,1,-97.40103068158373,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 3}",1
42,False,"{'a': 0.5, 'e': 0.12245642825298195}",20,0,19.235199759407404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.116484157773497}",30,6,-13.753994744385391,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.11080315836233391}",25,0,30.02111012298566,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.10539922456186436}",30,0,32.66165807276771,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.10025884372280376}",25,4,19.762338190878296,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.1}",25,0,-2.572193457274456,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.1}",25,0,15.452222859689083,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.1}",25,6,-28.508931638189303,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.1}",20,6,17.436141915225516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.1}",20,0,14.554425854489086,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.1}",25,10,-28.311083337868922,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.1}",25,0,-100.78765003817901,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.1}",20,0,-79.15346838725074,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.1}",25,0,-22.504156181242482,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.1}",25,19,9.425049012905928,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.1}",25,0,16.09729638909185,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.1}",20,0,7.395298038517549,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.1}",25,0,-7.515493586857808,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
